No Country for Old Men;Crime;Drama;Thriller;122;74
Lage Raho Munna Bhai;Comedy;Drama;Romance;144;81
Dare mo shiranai;Drama;;;141;71
Million Dollar Baby;Drama;Sport;;132;70
Hotel Rwanda;Biography;Drama;History;121;64
Taegukgi hwinalrimyeo;Action;Drama;War;140;52
Before Sunset;Drama;Romance;;80;73
Munna Bhai M,B,B,S,;Comedy;Drama;;156;81
Salinui chueok;Crime;Drama;Mystery;131;66
Dil Chahta Hai;Comedy;Drama;Romance;183;81
Kill Bill: Vol, 1;Action;Crime;Drama;111;56
Finding Nemo;Animation;Adventure;Comedy;100;73
Catch Me If You Can;Biography;Crime;Drama;141;61
Amores perros;Drama;Thriller;;154;67
Monsters, Inc,;Animation;Adventure;Comedy;92;64
Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni;Animation;Action;Drama;87;81
Lagaan: Once Upon a Time in India;Drama;Musical;Sport;224;68
The Sixth Sense;Drama;Mystery;Thriller;107;52
La leggenda del pianista sull'oceano;Drama;Music;Romance;169;81
The Truman Show;Comedy;Drama;;103;73
Crna macka, beli macor;Comedy;Crime;Romance;127;59
The Big Lebowski;Comedy;Crime;Sport;117;58
Fa yeung nin wah;Drama;Romance;;98;69
Trainspotting;Drama;;;93;67
Fargo;Crime;Drama;Thriller;98;69
Underground;Comedy;Drama;Fantasy;170;81
La haine;Crime;Drama;;98;81
Dilwale Dulhania Le Jayenge;Drama;Romance;;189;81
Before Sunrise;Drama;Romance;;101;62
Trois couleurs: Rouge;Drama;Mystery;Romance;99;81
Chung Hing sam lam;Comedy;Crime;Drama;102;62
Jurassic Park;Action;Adventure;Sci-Fi;127;55
In the Name of the Father;Biography;Crime;Drama;133;68
Ba wang bie ji;Drama;Music;Romance;171;81
D? hóng denglong gaogao gu?;Drama;History;Romance;125;81
Dead Poets Society;Comedy;Drama;;128;64
Stand by Me;Adventure;Drama;;89;61
Platoon;Drama;War;;120;75
Sacrifice;Drama;;;149;81
Paris, Texas;Drama;;;145;63
Kaze no tani no Naushika;Animation;Adventure;Fantasy;117;70
The Thing;Horror;Mystery;Sci-Fi;109;81
Pink Floyd: The Wall;Drama;Fantasy;Music;95;81
Fitzcarraldo;Adventure;Drama;;158;81
Fanny och Alexander;Drama;;;188;81
Blade Runner;Action;Sci-Fi;Thriller;117;68
The Elephant Man;Biography;Drama;;124;63
Life of Brian;Comedy;;;94;62
The Deer Hunter;Drama;War;;183;70
Rocky;Drama;Sport;;120;57
Network;Drama;;;121;67
Barry Lyndon;Adventure;Drama;History;185;72
Zerkalo;Biography;Drama;;107;65
Chinatown;Drama;Mystery;Thriller;130;75
Paper Moon;Comedy;Crime;Drama;102;62
Viskningar och rop;Drama;;;91;81
Solaris;Drama;Mystery;Sci-Fi;167;73
Le samoura?;Crime;Drama;Mystery;105;81
Cool Hand Luke;Crime;Drama;;127;75
Persona;Drama;Thriller;;85;70
Andrei Rublev;Biography;Drama;History;205;81
La battaglia di Algeri;Drama;War;;121;78
El ángel exterminador;Drama;Fantasy;;95;81
What Ever Happened to Baby Jane?;Drama;Horror;Thriller;134;61
Sanjuro;Action;Comedy;Crime;96;81
The Man Who Shot Liberty Valance;Drama;Western;;123;76
Ivanovo detstvo;Drama;War;;95;81
Jungfrukällan;Drama;;;89;81
Inherit the Wind;Biography;Drama;History;128;61
Les quatre cents coups;Crime;Drama;;99;81
Ben-Hur;Adventure;Drama;History;212;73
Kakushi-toride no san-akunin;Adventure;Drama;;139;81
Le notti di Cabiria;Drama;;;110;81
Kumonosu-jo;Drama;History;;110;81
The Bridge on the River Kwai;Adventure;Drama;War;161;70
